bill_date,posting_date,invoice_ref,partner,vat_type,tax_base,vat_amount
2025-01-07,2025-01-07,INV-0001,EU Client A,OUTPUT,800000,144000
2025-01-12,2025-01-12,INV-0002,Domestic Buyer Alpha,OUTPUT,2500000,450000
2025-01-17,2025-01-17,INV-0003,Domestic Buyer Alpha,OUTPUT,2500000,450000
2025-01-01,2025-01-01,INV-0004,Local Distributor,OUTPUT,2500000,450000
2025-01-10,2025-01-10,INV-0005,EU Client A,OUTPUT,1200000,216000
2025-01-07,2025-01-07,INV-0006,Export Client DE,OUTPUT,800000,144000
2025-01-02,2025-01-02,PUR-0007,Logistics Ltd,INPUT,200000,36000
2025-01-03,2025-01-03,PUR-0008,Fuel Supplier,INPUT,420000,75600
2025-01-03,2025-01-03,PUR-0009,Fuel Supplier,INPUT,200000,36000
2025-01-05,2025-01-05,PUR-0010,Fuel Supplier,INPUT,500000,90000
2025-02-01,2025-02-01,INV-0011,EU Client B,OUTPUT,950000,171000
2025-02-14,2025-02-14,INV-0012,EU Client A,OUTPUT,2500000,450000
2025-02-15,2025-02-15,INV-0013,EU Client B,OUTPUT,1200000,216000
2025-02-13,2025-02-13,INV-0014,EU Client A,OUTPUT,2500000,450000
2025-02-20,2025-02-20,INV-0015,Export Client DE,OUTPUT,950000,171000
2025-02-05,2025-02-05,INV-0016,Domestic Buyer Alpha,OUTPUT,950000,171000
2025-02-04,2025-02-04,PUR-0017,Fuel Supplier,INPUT,200000,36000
2025-02-19,2025-02-19,PUR-0018,Packaging Co,INPUT,350000,63000
2025-02-02,2025-02-02,PUR-0019,Logistics Ltd,INPUT,350000,63000
2025-02-06,2025-02-06,PUR-0020,Packaging Co,INPUT,420000,75600
2025-03-12,2025-03-12,INV-0021,Export Client DE,OUTPUT,450000,81000
2025-03-11,2025-03-11,INV-0022,Export Client DE,OUTPUT,1200000,216000
2025-03-07,2025-03-07,INV-0023,EU Client A,OUTPUT,800000,144000
2025-03-20,2025-03-20,INV-0024,EU Client A,OUTPUT,950000,171000
2025-03-03,2025-03-03,INV-0025,EU Client A,OUTPUT,2500000,450000
2025-03-05,2025-03-05,INV-0026,Domestic Buyer Alpha,OUTPUT,800000,144000
2025-03-10,2025-03-10,PUR-0027,Fuel Supplier,INPUT,420000,75600
2025-03-09,2025-03-09,PUR-0028,Supplier Alpha,INPUT,420000,75600
2025-03-17,2025-03-17,PUR-0029,Packaging Co,INPUT,350000,63000
2025-03-12,2025-03-12,PUR-0030,Group Bank,INPUT,350000,63000
2025-01-28,2025-02-03,INV-CROSS-001,EU Client A,OUTPUT,3000000,540000
2025-02-25,2025-03-02,PUR-CROSS-001,Supplier Alpha,INPUT,600000,108000
2025-02-10,2025-02-10,INV-ERR-001,Domestic Buyer Alpha,OUTPUT,1000000,80000
