entity,currency,expected_date,amount,customer,ref,confidence
Entity C,TZS,2025-05-12,5000000,Local Dist,AR-001,HIGH
Entity B,TZS,2025-04-17,22000000,EU Client A,AR-002,LOW
Entity B,USD,2025-03-13,30000,EU Client A,AR-003,LOW
Entity C,TZS,2025-03-25,30000000,Local Dist,AR-004,LOW
Entity A,USD,2025-04-30,8000,Export DE,AR-005,HIGH
Group HQ,USD,2025-05-18,30000,EU Client B,AR-006,LOW
Entity C,TZS,2025-04-23,15000000,EU Client A,AR-007,HIGH
Entity B,TZS,2025-04-19,30000000,Local Dist,AR-008,LOW
Entity C,TZS,2025-04-10,8000000,Local Dist,AR-009,LOW
Group HQ,TZS,2025-04-10,15000000,Export DE,AR-010,LOW
Entity C,TZS,2025-04-02,30000000,Export DE,AR-011,HIGH
Entity C,TZS,2025-05-18,15000000,Domestic Buyer,AR-012,LOW
Entity B,USD,2025-05-12,5000,Domestic Buyer,AR-013,LOW
Group HQ,USD,2025-03-15,30000,Export DE,AR-014,MEDIUM
Entity B,USD,2025-04-28,30000,Export DE,AR-015,LOW
Group HQ,TZS,2025-05-17,22000000,Domestic Buyer,AR-016,MEDIUM
Entity C,TZS,2025-05-22,22000000,Export DE,AR-017,HIGH
Group HQ,TZS,2025-04-04,8000000,Local Dist,AR-018,LOW
